Name,State,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
Ralls,MO,10167,9626,28285,13,332,22.6,469.78
Randolph,MO,25414,24663,25230,12.3,366,19.7,482.68
Ray,MO,23494,23354,30907,12.5,417,31.8,568.81
Reynolds,MO,6696,6689,23757,7.3,264,28.3,808.48
Ripley,MO,14100,13509,21504,11.7,307,22,629.54
Saline,MO,23370,23756,28871,17.8,303,19.9,755.5
Schuyler,MO,4431,4170,21607,11.3,278,23.8,307.3
Scotland,MO,4843,4983,23659,14.9,199,22.9,436.67
Scott,MO,39191,40422,28189,12.8,348,18.9,419.99
Shannon,MO,8441,8324,18539,13.2,246,23.7,1003.82
Shelby,MO,6373,6799,26941,12.1,267,22.2,500.86
St. Charles,MO,360485,283883,36711,32.6,683,25,560.44
St. Clair,MO,9805,9652,21863,10.7,266,25.9,669.98
St. Francois,MO,65359,55641,24143,13.5,412,25.7,451.89
St. Louis,MO,998954,1016315,51710,38.5,632,23.1,507.8
St. Louis city,MO,319294,348189,29724,25.5,479,24.2,61.91
Ste. Genevieve,MO,18145,17842,28761,12.2,370,27.7,499.15
Stoddard,MO,29968,29705,25790,11.1,321,21.5,823.22
Stone,MO,32202,28658,28095,16.2,423,26.6,464.03
Sullivan,MO,6714,7219,30133,11.4,295,19.2,647.98
Taney,MO,51675,39703,26760,20.4,491,20.3,632.44
Texas,MO,26008,23003,19870,11.1,322,25.6,1177.27
Vernon,MO,21159,20454,25436,14.4,342,17.3,826.4
Warren,MO,32513,24525,30448,15.5,508,29.1,428.6
Washington,MO,25195,23344,22379,6.9,344,33.4,759.91
Wayne,MO,13521,13259,22334,8.1,289,23.8,759.18
Webster,MO,36202,31045,23030,14.6,418,29.1,592.56
Worth,MO,2171,2382,22582,13.2,208,21.8,266.61
Wright,MO,18815,17955,19831,10.8,279,23.7,681.77
Adams,MS,32297,34340,28864,19.6,338,21.9,462.41
Alcorn,MS,37057,34558,24796,15,287,19.8,400.04
Amite,MS,13131,13599,23897,10.6,270,32.2,730.1
Attala,MS,19564,19661,22770,16,323,25.3,734.98
Benton,MS,8729,8026,19010,10.2,298,35.8,406.62
Bolivar,MS,34145,40633,23919,20.7,372,17.2,876.57
Calhoun,MS,14962,15069,25236,10,287,23.5,586.57
Carroll,MS,10597,10769,26377,13.3,337,23.8,628.24
Chickasaw,MS,17392,19440,22712,9.9,238,23.7,501.78
Choctaw,MS,8547,9758,20405,11.6,245,24.2,418.18
Claiborne,MS,9604,11831,20512,17.8,303,23.8,487.41
Clarke,MS,16732,17955,22465,9.1,326,31.3,691.55
Clay,MS,20634,21979,25475,14.3,329,20.2,410.08
Coahoma,MS,26151,30622,26488,14.1,342,21.5,552.44
Copiah,MS,29449,28757,21842,13.4,312,25.1,777.24
Covington,MS,19568,19407,22441,14.6,268,28.6,413.79
DeSoto,MS,161252,107199,31891,20.6,703,25.1,476.15
Forrest,MS,74934,72604,26268,26.5,470,19.5,466.31
Franklin,MS,8118,8448,21001,14.8,203,38.3,563.78
George,MS,22578,19144,23248,12.2,321,34,478.71
Greene,MS,14400,13299,19018,7.8,283,33.5,712.76
Grenada,MS,21906,23263,24993,16.8,334,19,422.11
Hancock,MS,43929,42967,41124,21.2,543,30.1,473.75
Harrison,MS,187105,189601,35856,19.7,655,22.4,573.99
Hinds,MS,245285,250800,33635,27.9,542,21.6,869.74
Holmes,MS,19198,21609,20254,11.4,245,34.8,756.7
Humphreys,MS,9375,11206,20755,12.6,233,18.4,418.49
Issaquena,MS,1406,2274,25053,6.3,175,23.2,413.05
Itawamba,MS,23401,22770,25954,12.1,356,24.3,532.79
Jackson,MS,139668,131420,34187,17.8,565,23.9,722.75
Jasper,MS,17062,18149,23945,10.3,306,25.9,676.24
Jefferson,MS,7726,9740,17290,18,185,29.2,519.93
Jefferson Davis,MS,12487,13962,22221,10.7,277,31.4,408.44
Jones,MS,67761,64958,29550,14.8,383,22.7,694.8
Kemper,MS,10456,10453,20382,10.9,239,28.7,766.18
Lafayette,MS,47351,38744,30576,39,528,17,631.71
Lamar,MS,55658,39070,30437,29.1,609,24.6,497.06
Lauderdale,MS,80261,78161,29659,18.7,415,19.6,703.63
Lawrence,MS,12929,13258,25471,10.1,347,35.5,430.67
Leake,MS,23805,20940,22252,9,349,28.4,583
Lee,MS,82910,75755,31030,21.5,408,18.8,449.95
Leflore,MS,32317,37947,25308,16.8,272,16.8,592.54
Lincoln,MS,34869,33166,25481,16.3,329,31.7,586.12
Lowndes,MS,59779,61586,29124,20.5,406,19.9,505.51
Madison,MS,95203,74674,43106,41.1,635,22.8,714.51
Marion,MS,27088,25595,24716,11.9,315,34.2,542.38
Marshall,MS,37144,34993,23739,10.4,322,31.5,706.19
Monroe,MS,36989,38014,25378,12.7,302,23.6,765.09
Montgomery,MS,10925,12189,23623,15.7,299,24.7,406.98
Neshoba,MS,29676,28684,28666,12.3,343,22.5,570.14
Newton,MS,21720,21838,24341,11.6,286,27.4,578.1
Noxubee,MS,11545,12548,20338,9.9,261,25.1,695.14
Oktibbeha,MS,47671,42902,26740,39.7,483,16.1,458.2
Panola,MS,34707,34274,22943,12.8,387,25.2,685.14
Pearl River,MS,55834,48621,23247,14.6,429,35,810.86
Perry,MS,12250,12138,21014,10,256,36.2,647.25
Pike,MS,40404,38940,23894,16,354,23.3,409.02
Pontotoc,MS,29957,26726,24314,11.3,398,23.9,497.69
Prentiss,MS,25276,25556,21311,14,345,21.2,414.98
Quitman,MS,8223,10117,21978,11.8,254,25.8,405.01
Rankin,MS,141617,115327,33209,27.9,635,23.9,775.49
Scott,MS,28264,28423,22336,8.9,334,23.7,609.19
Sharkey,MS,4916,6580,23407,16.2,235,16.9,431.72
Simpson,MS,27503,27639,26293,14.2,394,34.2,589.16
Smith,MS,16491,16182,23274,16,317,31.3,636.25
Stone,MS,17786,13622,26519,12.9,406,27.6,445.49
Sunflower,MS,29450,34369,20701,13.3,298,15.1,697.75
Tallahatchie,MS,15378,14903,23382,10.5,183,24.9,645.29
Tate,MS,28886,25370,26720,12.7,415,26.6,404.76
Tippah,MS,22232,20826,23535,10,312,24.9,457.82
Tishomingo,MS,19593,19163,21960,12,279,21.7,424.25
Tunica,MS,10778,9227,23325,13.7,466,17.9,454.67
Union,MS,27134,25362,24696,13.3,358,23.6,415.6
Walthall,MS,15443,15156,21509,14.6,290,34.4,403.94
Warren,MS,48773,49644,32898,22.7,430,19.5,588.5
Washington,MS,51137,62977,24175,17.9,372,18.4,724.74
Wayne,MS,20747,21216,23634,9.9,279,31.7,810.75
Webster,MS,10253,10294,21630,14.1,265,26.5,420.94
Wilkinson,MS,9878,10312,19153,8,208,31.2,678.11
Winston,MS,19198,20160,24102,13.9,391,24.2,607.25
Yalobusha,MS,12678,13051,23175,12,225,24.6,467.13
Yazoo,MS,28065,28149,22228,11.2,348,29.8,922.95
Beaverhead,MT,9246,9202,30642,30.3,384,13.8,5541.62
Big Horn,MT,12865,12671,22297,11,357,17.2,4995.46
Blaine,MT,6491,7009,23226,17.7,137,13.4,4227.55
Broadwater,MT,5612,4385,26712,14,312,28.6,1192.54
Carbon,MT,10078,9552,35714,28.2,479,22.9,2048.79
Carter,MT,1160,1360,27792,13,296,12.3,3340.75
Cascade,MT,81327,80357,34417,23.3,444,15.1,2698.16
Chouteau,MT,5813,5970,32753,21.8,223,18.8,3972.49
Custer,MT,11699,11696,30348,20.5,374,15.2,3783.36
Daniels,MT,1751,2017,36106,20.1,278,11.6,1426.11
Dawson,MT,8966,9059,29268,16.1,338,16.9,2371.87
Deer Lodge,MT,9298,9417,27316,18.9,378,21.1,736.53
Fallon,MT,2890,2837,35405,12.4,339,10.5,1620.77
Fergus,MT,11586,11893,32585,23.9,348,16,4339.8
Flathead,MT,90928,74471,35185,26.4,566,17.7,5087.66
Gallatin,MT,89513,67831,36117,44.5,680,17.8,2602.69
Garfield,MT,1206,1279,27730,15.3,240,11,4675.36
Glacier,MT,13399,13247,25349,17.5,305,11.4,2995.94
Golden Valley,MT,884,1042,27449,20.1,388,31.8,1175.34
Granite,MT,3079,2830,30022,21.9,361,21.9,1727.42
Hill,MT,16096,16673,33792,20,390,12.3,2898.96
Jefferson,MT,11406,10049,34999,31.6,409,19.6,1656.26
Judith Basin,MT,2072,2329,27633,30.8,229,16.9,1869.82
Lake,MT,28746,26507,25853,22.4,440,17.7,1490.15
Lewis and Clark,MT,63395,55716,36553,33.3,564,16.7,3458.83
Liberty,MT,2339,2158,32644,15.8,325,16.7,1430.05
Lincoln,MT,19687,18837,25156,16.1,354,17.6,3612.92
Madison,MT,7691,6851,34078,27.5,463,19.7,3587.48
McCone,MT,1734,1977,24857,19.4,253,16.2,2643.17
Meagher,MT,1891,1932,28356,21.6,333,15.2,2391.91
Mineral,MT,4223,3884,26058,14.3,388,19.8,1219.44
Missoula,MT,109299,95802,33587,37.1,594,17.1,2593.42
Musselshell,MT,4538,4497,23909,13.6,342,23.1,1868.16
Park,MT,15636,15694,32140,30.2,462,21.3,2803.06
Petroleum,MT,494,493,25159,12.6,238,11.5,1654.87
Phillips,MT,4253,4601,26876,14.8,316,16.8,5140.04
Pondera,MT,6153,6424,29484,20.7,427,16.1,1622.86
Powder River,MT,1743,1858,23088,20.7,344,15.3,3297.3
Powell,MT,7027,7180,22852,18.8,462,20.2,2326.39
Prairie,MT,1179,1199,28874,13.9,353,12.6,1736.74
Ravalli,MT,40212,36070,28511,23.3,553,21.9,2390.82
Richland,MT,9746,9667,36960,15.3,351,17.8,2084.14
Roosevelt,MT,10425,10620,23506,18,307,12.4,2354.79
Rosebud,MT,9233,9383,30364,16.2,301,14,5010.4
Sanders,MT,11413,10227,23394,15.2,399,24.5,2760.52
Sheridan,MT,3384,4105,31783,17,294,13.4,1677.08
Silver Bow,MT,34200,34606,35908,22.4,396,16.4,718.48
Stillwater,MT,9117,8195,32589,20.7,472,26.5,1795.35
Sweet Grass,MT,3651,3609,28448,28.2,411,22.9,1855.21
Teton,MT,6073,6445,34257,20.4,412,18.2,2272.38
Toole,MT,5324,5267,32067,20.1,448,16.7,1915.65
